A,B,result
Mathematical_proof,Ray_tracing_(graphics),0
Robot,Concurrency_(computer_science),0
Estimation_theory,Probability,1
Computer_simulation,Logic,1
Computational_learning_theory,Boundary_value_problem,0
Kernel_(computing),Scientific_visualization,0
Computer_graphics,Computer_programming,1
3D_computer_graphics,Spanning_tree,0
Computation,Packet_switching,0
Computational_complexity_theory,Support_vector_machine,0
Fast_Fourier_transform,Mathematical_induction,1
Support_vector_machine,Iterative_method,1
Thread_(computer_science),Monad_(functional_programming),0
Computational_chemistry,Data_structure,1
Modular_arithmetic,Data_structure,0
Computer_vision,Probability,1
Natural_language_processing,Reason,1
Data_mining,Operating_system,1
Lisp_(programming_language),Shared_memory,0
Coding_theory,Imperative_programming,0
Inheritance_(object-oriented_programming),Data,1
Scientific_modelling,Volume_rendering,0
High-level_programming_language,Discrete_mathematics,1
Reinforcement_learning,Entropy,0
Large_deviations_theory,Random_variable,1
Context-free_grammar,Computer_security,0
Theoretical_computer_science,Computation,1
P_versus_NP_problem,Computer,1
String_(computer_science),Volume_rendering,0
Social_network,Computational_science,1
Mathematics,JavaScript,0
Database_transaction,Pushdown_automaton,0
Python_(programming_language),Shortest_path_problem,0
Inter-process_communication,Continuous_function,0
Expert_system,Computer,1
Statistics,Message_Passing_Interface,0
Number_theory,Document_classification,0
Database_management_system,Geometric_modeling,0
Web_service,Randomized_algorithm,0
Microcode,Computer_science,1
Very_long_instruction_word,Programming_language,0
NP-complete,Combinatorics,1
Abstraction_(computer_science),Computer_science,1
Firewall_(computing),Data,1
Graphical_model,Computer_science,1
Atomicity_(database_systems),Prolog,0
Lisp_(programming_language),Variable_(computer_science),1
Programmer,Arithmetic,1
Run_time_(program_lifecycle_phase),Mobile_device,0
Recursion,Integer,1
Combinatorics,OSI_model,0
Cloud_computing,Vector_processor,0
Dynamic_memory_allocation,Operating_system,1
Natural_language_processing,Computational_science,1
Machine_translation,Problem_solving,1
Semidefinite_programming,Web_server,0
Parallel_algorithm,Computer,1
Poisson_distribution,Random_variable,1
C++,Data,1
Shortest_path_problem,Formal_language,0
Suffix_tree,Sentiment_analysis,0
Recursively_enumerable_set,Higher-order_function,0
Routing,Data,1
Model_checking,Distributed_algorithms,0
3D_computer_graphics,Interactivity,0
Inter-process_communication,Computing,1
Virtual_memory,Computation,1
Abstract_data_type,Number_theory,1
Input/output,Digital_electronics,1
Reinforcement_learning,Higher-order_function,0
Pattern_recognition,Computer,1
Entropy,Mathematical_model,0
Rendering_(computer_graphics),Computer_programming,1
Complexity,Iterative_method,1
Concurrent_computing,NP_(complexity),0
Finite-state_machine,Interpolation,0
Regular_expression,C_(programming_language),0
Sentiment_analysis,Graph_theory,1
Monad_(functional_programming),Variable_(computer_science),1
Scope_(computer_science),Spanning_tree,0
Database_normalization,Coding_theory,0
First-order_logic,Algorithm,1
Higher-order_function,Fixed_point_(mathematics),0
Approximation,Control_flow,0
PSPACE,Tensor,0
Congestion_control,Computer_network,1
Monte_Carlo_method,Random_variable,1
Game_theory,Algorithm,1
Logic_programming,Mathematics,1
Shortest_path_problem,Discrete_mathematics,1
Part-of-speech_tagging,Interactivity,0
Random_walk,Operating_system,0
Microprocessor,Fixed_point_(mathematics),0
Dynamic_programming,Data_warehouse,0
Algebra,Data_(computing),0
Boundary_value_problem,Assembly_language,0
Embedded_system,Microprocessor,1
Relational_database_management_system,Analysis_of_algorithms,1
Parallel_algorithm,Object-oriented_programming,0
Graph_(mathematics),Database_system,0
Kernel_(computing),Computing,1
Pattern_recognition,Shading,0
Polymorphism_(computer_science),Gradient_descent,0
Quantum_mechanics,Vector_processor,0
Cryptanalysis,Computability,1
Memory_hierarchy,Information_theory,0
Divide_and_conquer_algorithm,Unix,0
Bayesian_network,Random_variable,1
Reason,Cluster_analysis,0
Dynamic_memory_allocation,Eigenvalues_and_eigenvectors,0
Program_analysis,Computational_chemistry,0
Assembly_language,Volume_rendering,0
Newton's_method,Inference,0
Program_optimization,Linear_algebra,0
Introduction_to_Algorithms,Fixed_point_(mathematics),0
Automated_planning_and_scheduling,Least_squares,0
Concurrency_(computer_science),Computer_science,1
Document_classification,Statistical_inference,1
Big_data,Graph_(mathematics),0
Lock_(computer_science),Database_management_system,0
Reinforcement_learning,Computer_programming,1
Probability,Mathematics,1
Inheritance_(object-oriented_programming),Computability,1
Computer_graphics,Discrete_mathematics,1
File_system,Central_processing_unit,1
Memory_management,Computer,1
Data_mining,Data,1
Haskell_(programming_language),Computability,1
Economics,Eigenvalues_and_eigenvectors,0
Bioinformatics,Algorithm,1
Quantum_mechanics,Continuous_function,1
Finite_difference,Partial_differential_equation,1
Java_(programming_language),Programming_language,1
Automatic_programming,Support_vector_machine,0
Lisp_(programming_language),Scope_(computer_science),1
Python_(programming_language),Computational_chemistry,0
Robot,Index_(database),0
Formal_verification,Discrete_mathematics,1
Speech_recognition,Number_theory,1
Turing_machine,Automata_theory,1
Security,Multiplication,0
Estimation_theory,Expected_value,1
Scripting_language,Arithmetic,1
Mathematical_optimization,Integer,1
Shading,PageRank,0
Parallel_computing,Foundations_of_mathematics,1
Iterative_method,Graphics,0
Geometric_modeling,Computation,1
Virtual_memory,Graph_(mathematics),0
Data_mining,Information_security,0
Context-free_grammar,Hash_table,0
Graphical_user_interface,Shortest_path_problem,0
Procedural_programming,MapReduce,0
Recurrence_relation,Entropy,0
Deadlock,Context-free_language,0
JavaScript,Interactivity,0
Finite-state_machine,Logic,1
Assembly_language,Instruction_set,1
Graphical_model,Markov_chain,1
Finite_difference,Eigenvalues_and_eigenvectors,1
Turing_machine,Computation,1
Python_(programming_language),Data_structure,1
Concurrency_(computer_science),Hidden_line_removal,0
Python_(programming_language),Computer_programming,1
Natural_language_processing,Data_structure,1
Image_processing,Computer,1
Syntax,Logic_programming,0
Hidden_Markov_model,Mathematical_optimization,1
Model_checking,Wavelet,0
Formal_methods,Computing,1
Superscalar,Multi-core_processor,1
Ordinary_differential_equation,Debugging,0
Numerical_analysis,Floating_point,1
Differential_equation,Database_management_system,0
Cryptography,Bayesian_network,0
Signal_processing,Entropy,0
Firewall_(computing),High-level_programming_language,0
Integral,3D_computer_graphics,0
Superscalar,Parallel_computing,1
Lisp_(programming_language),Instruction_set,0
Complexity_class,Discrete_mathematics,1
Parallel_computing,Computing,1
Concurrent_computing,System_call,0
Graphical_model,Artificial_intelligence,1
Monad_(functional_programming),Data_analysis,0
Theoretical_computer_science,Control_flow,0
Tensor,Mathematics,1
Logic_programming,Computational_science,1
Newton's_method,Arithmetic,1
Compiler,Model_checking,0
Relational_database,Algorithm_design,1
Visualization_(computer_graphics),Computer_graphics,1
Data_analysis,Logic,0
Bioinformatics,Assembly_language,0
Quantum_cryptography,Number_theory,1
User_interface_design,Computer_science,0
Program_optimization,Theoretical_computer_science,1
Machine_learning,Data,1
Analysis_of_algorithms,Asymptotic_analysis,1
Object-oriented_programming,Computing,1
Arithmetic_logic_unit,Digital_electronics,1
Randomized_algorithm,Undecidable_problem,0
Speech_recognition,Visualization_(computer_graphics),0
Sentiment_analysis,Computer,1
Web_browser,Stochastic_process,0
Debugging,Algorithm,1
Haskell_(programming_language),Functional_programming,1
Automata_theory,Personal_computer,0
Poisson_distribution,Algebra,1
NP_(complexity),Polymorphism_(computer_science),0
Functional_programming,Number_theory,1
Mathematical_optimization,Sentiment_analysis,0
Computer_animation,Rendering_(computer_graphics),1
NP-complete,Computation,1
Control_flow,Computer_science,1
3D_modeling,Asymptotic_analysis,0
Model_checking,Polynomial,1
Spanning_tree,CPU_cache,0
Geometric_modeling,Turing_machine,0
Virtual_memory,Central_processing_unit,1
Support_vector_machine,Computability,1
Foundations_of_mathematics,Authentication,0
Recurrence_relation,Generic_programming,0
Relational_algebra,Random_walk,0
Inference,HTML,0
Vulnerability_(computing),Debugging,0
Digital_electronics,Large_deviations_theory,0
Computer,Iterative_method,0
Context-free_grammar,String_(computer_science),1
Java_(programming_language),Arithmetic,1
Imperative_programming,Logic_programming,0
Randomized_algorithm,Algorithm,1
Feature_extraction,Object_(computer_science),0
Divide_and_conquer_algorithm,Correlation_and_dependence,0
Symmetric_multiprocessing,Computer_architecture,0
Part-of-speech_tagging,Program_optimization,0
Fast_Fourier_transform,Algorithm,1
Theory_of_computation,Relational_database,0
Parsing,Computational_science,1
Object-oriented_programming,Arithmetic,1
Newton's_method,Statistical_inference,0
Least_squares,Debugging,0
Recursion_(computer_science),Social_network,0
Analysis_of_algorithms,Statistical_inference,0
Finite_element_method,Nonlinear_system,0
Instruction_set,Integer,0
Public-key_cryptography,Thread_(computer_science),0
Computer_software,Algorithm_design,0
Round-off_error,Eigenvalues_and_eigenvectors,1
Java_(programming_language),Logic,1
System_programming,"Best,_worst_and_average_case",0
Scientific_visualization,Personal_computer,1
Document_classification,Kalman_filter,0
Internet,Routing,1
ML_(programming_language),Computer_programming,1
Floating_point,Martingale_(probability_theory),0
Interpolation,Higher-order_function,0
Partial_differential_equation,Algorithm,1
Database,Logic,1
Statistical_hypothesis_testing,Routing,0
Theory_of_computation,Finite-state_machine,0
Regular_expression,Computer_programming,0
Parallel_computing,Image_processing,0
Estimation_theory,Quantum_cryptography,0
Formal_verification,Procedural_programming,0
Database_system,MATLAB,0
Imperative_programming,Large_deviations_theory,0
Automatic_programming,Fixed_point_(mathematics),0
Differential_equation,Statistical_hypothesis_testing,0
High-level_programming_language,Estimation_theory,0
Internet,Image_processing,0
Machine_learning,Artificial_intelligence,1
Algorithm_design,Iterative_method,1
String_(computer_science),Data_structure,1
Context-free_language,Java_(programming_language),0
Modular_arithmetic,Parametric_polymorphism,0
Modular_arithmetic,Procedural_programming,0
Procedural_programming,User_interface_design,0
Symmetric_multiprocessing,Parallel_computing,1
Telecommunications_network,Mathematical_induction,0
Microcode,Stack_(data_structure),0
Question_answering,Inequality_(mathematics),0
Poisson_distribution,Genetic_algorithm,0
Expected_value,Arithmetic_logic_unit,0
Symbol_table,Assembly_language,1
Digital_signature,Foundations_of_mathematics,1
Programming_language,Motion_capture,0
Memory_hierarchy,Motion_capture,0
Firewall_(computing),Recursion,0
Memory_hierarchy,Image_analysis,0
Instruction_set,Pattern_recognition,0
Unsupervised_learning,Mathematical_optimization,1
Software_testing,Software_design,1
Mathematical_model,Web_server,0
Java_(programming_language),Virtual_memory,0
Object_(computer_science),Problem_solving,0
Scope_(computer_science),Algorithm,1
Compiler,Computational_complexity_theory,1
Computer_programming,Computer_network,0
Linked_list,Mathematics,1
String_searching_algorithm,Logic,1
Monad_(functional_programming),Kernel_(computing),0
Approximation,Knowledge_representation_and_reasoning,0
Denotational_semantics,Turing_machine,0
Markov_chain,Computational_chemistry,0
Peer-to-peer,Correlation_and_dependence,0
Run_time_(program_lifecycle_phase),Interactivity,0
Sentiment_analysis,Statistics,1
Malware,Pushdown_automaton,0
Monte_Carlo_method,Lock_(computer_science),0
Web_server,Program_analysis,0
Computer_vision,Probability_theory,1
Turing_machine,Foundations_of_mathematics,1
Database,Discrete_mathematics,1
Newton's_method,Data_type,0
Debugging,Logic,1
Polynomial,Concurrency_(computer_science),0
Differential_equation,Graphics,0
Web_service,Poisson_distribution,0
Feature_extraction,Cryptographic_hash_function,0
Unsupervised_learning,Program_analysis,0
Geometric_modeling,Computational_geometry,1
Polymorphism_(computer_science),NP-complete,0
Computer_multitasking,Public-key_cryptography,0
Programming_style,Computer_programming,1
Formal_methods,Turing_machine,1
Combinatorics,Poisson_distribution,0
Index_(database),Logic,1
Software_development,Structured_programming,1
Least_squares,Integer,0
Concurrent_computing,Symmetric_multiprocessing,0
Web_service,Foundations_of_mathematics,0
Software_engineering,Computational_problem,1
Routing,Digital_electronics,1
Parallel_algorithm,Fixed_point_(mathematics),0
Object-oriented_programming,Algorithm,1
Computational_complexity_theory,Computational_problem,1
Interface_(computing),Rendering_(computer_graphics),0
World_Wide_Web,Neural_network,0
Computer_graphics,Least_squares,0
Formal_methods,Arithmetic,1
Interpolation,Decision_theory,0
Packet_switching,Graph_(mathematics),1
Recursion,Computability,1
Sentiment_analysis,Instruction_set,0
Pattern_matching,Functional_programming,1
Parsing,Polynomial,1
Cryptanalysis,Dynamic_memory_allocation,0
Server_(computing),Numerical_analysis,0
Inheritance_(object-oriented_programming),Object_(computer_science),1
Perl,Compiler,1
Digital_signature,Java_(programming_language),0
Interface_(computing),Virtual_reality,0
Newton's_method,Algebra,0
OSI_model,Mathematical_model,0
Concurrent_computing,Inequality_(mathematics),0
Firewall_(computing),Concurrency_control,0
Speech_recognition,Discrete_mathematics,1
Program_analysis,Foundations_of_mathematics,1
Multi-core_processor,Computer,1
Parallel_algorithm,Logic,1
Lazy_evaluation,Software_testing,0
Control_flow,Complexity_class,0
3D_computer_graphics,Iterative_method,1
Natural_language_processing,Computer_programming,1
Run_time_(program_lifecycle_phase),Discrete_mathematics,1
Mathematical_induction,Context-free_grammar,0
Data_warehouse,Computer_science,1
Question_answering,Computer_programming,1
Scientific_visualization,Computer,1
Program_optimization,Combinatorics,1
Computer_network,Graph_(mathematics),1
Shared_memory,Microprocessor,0
Cryptography,Security,1
P_versus_NP_problem,Iterative_method,1
Numerical_analysis,Algorithm,1
Computer_graphics,Geometry,1
Formal_verification,Communications_protocol,0
Finite_set,Cryptanalysis,0
C++,Computer,1
Parsing,Data_type,1
String_(computer_science),Algorithm,1
Foundations_of_mathematics,SQL,0
C_(programming_language),Data_structure,1
Cache_coherence,Parallel_computing,1
Data_warehouse,Data,1
OSI_model,Computer_vision,0
3D_computer_graphics,Finite_difference,0
Fixed_point_(mathematics),Query_language,0
Linear_programming,Problem_solving,1
Regular_expression,Kinematics,0
Computer_network,Digital_electronics,1
Divide_and_conquer_algorithm,Integer,1
Computational_learning_theory,Quantum_cryptography,0
Recommender_system,Algorithm_design,1
Parallel_computing,Inference,0
Statistics,Computer_software,0
Robot,Routing,0
Python_(programming_language),Pattern_recognition,0
Partial_differential_equation,Statistical_inference,0
Assembly_language,Automata_theory,1
Economics,Artificial_intelligence,0
Undecidable_problem,Computational_complexity_theory,1
Computer_science,Probability,0
Robotics,Graph_theory,1
Fixed_point_(mathematics),Mathematics,1
Computer_simulation,Profiling_(computer_programming),0
Prolog,Scope_(computer_science),0
Encryption,Superscalar,0
MapReduce,Parallel_computing,1
Software_engineering,Digital_electronics,1
High-level_programming_language,Document_classification,0
Query_language,Computational_complexity_theory,1
Memory_hierarchy,MATLAB,0
Decision_theory,Discrete_mathematics,1
Web_server,Digital_electronics,1
Software_development,Query_language,0
Foundations_of_mathematics,Pattern_matching,0
Concurrency_control,Digital_electronics,1
Natural_language_processing,Programming_language,1
Statistics,JavaScript,0
Automatic_programming,Foundations_of_mathematics,1
Random_walk,Computational_science,1
Algorithm,Mathematical_induction,1
Recurrence_relation,Computation,1
Hidden_Markov_model,Logic,1
Randomized_algorithm,Computer_science,1
Communications_protocol,Theoretical_computer_science,1
User_interface,Computational_science,1
Automated_theorem_proving,Foundations_of_mathematics,1
Computer_programming,Computing,1
Finite_set,Big_data,0
Abstract_data_type,Discrete_mathematics,1
NP_(complexity),Computability,1
Digital_electronics,Randomness,0
Recursion,Computer,1
Concurrency_control,Asymptotic_analysis,1
Programming_paradigm,Pipeline_(computing),0
Gradient_descent,Discrete_mathematics,1
Procedural_programming,Communication,0
Microcode,Statistics,0
Software_development,Object-oriented_programming,1
Stack_(data_structure),High-level_programming_language,0
Functional_programming,Recursion,1
Python_(programming_language),Image_processing,0
Least_squares,Feature_extraction,0
Database_design,Data_type,1
Computer_programming,Complexity,1
Random_walk,Pipeline_(computing),0
Python_(programming_language),Support_vector_machine,0
Database_system,Theory_of_computation,0
Interaction_design,Mathematical_induction,0
Gradient_descent,Computation,1
Server_(computing),Modular_programming,0
Martingale_(probability_theory),Mathematics,1
Randomness,Recursion_(computer_science),0
Modular_programming,Software_design,0
World_Wide_Web,Communications_protocol,0
String_(computer_science),Data_(computing),1
Graphics_processing_unit,Discrete_mathematics,0
Recommender_system,Semidefinite_programming,0
Virtual_reality,Interactivity,1
String_searching_algorithm,Number_theory,1
Inheritance_(object-oriented_programming),Telecommunications_network,0
Database,Mathematics,1
Synchronization,Boundary_value_problem,0
Graph_coloring,Algorithm,1
3D_computer_graphics,Discrete_mathematics,1
Sentiment_analysis,Theory_of_computation,0
Memory_hierarchy,Computer,1
Analysis_of_algorithms,Number_theory,1
Hidden_Markov_model,Mathematics,1
Partial_differential_equation,Information_security,0
Divide_and_conquer_algorithm,Control_flow,1
Multiplication,Lock_(computer_science),0
Monte_Carlo_method,Data,1
Computation,Polymorphism_(computer_science),0
Autonomous_robot,Index_(database),0
Speech_recognition,Spanning_tree,0
Correlation_and_dependence,Computer_graphics,0
Scripting_language,Digital_electronics,1
Hidden_line_removal,Abstraction_(computer_science),1
Data_(computing),Computer_graphics,0
Computer_vision,Linear_algebra,1
Computational_complexity_theory,Mathematical_induction,1
Lock_(computer_science),Halting_problem,0
Discrete_mathematics,Mathematics,1
Neural_network,Probability,1
Statistical_inference,Data,1
Array_data_structure,Data_structure,1
Big_data,Computer_science,1
Software_development,Theory_of_computation,1
Inheritance_(object-oriented_programming),Design_pattern_(computer_science),1
Compiler,Regular_language,1
Random_graph,Information_assurance,0
Context-free_grammar,Logic,1
Object_(computer_science),Vector_processor,0
Compiler,Finite-state_machine,1
Software_engineering,Theoretical_computer_science,1
Virtual_memory,Knowledge_representation_and_reasoning,0
Formal_grammar,Computer_programming,1
Analysis_of_algorithms,Algebra,1
Vector_processor,Time_complexity,1
Genetic_algorithm,Iterative_method,1
Model_of_computation,Computational_complexity_theory,1
Interface_(computing),Decision_theory,0
Stochastic,Coding_theory,0
Monte_Carlo_method,Statistical_inference,1
Monte_Carlo_method,Abstraction_(computer_science),1
Robot,Reason,1
Formal_grammar,Lisp_(programming_language),0
Automatic_programming,Partial_differential_equation,0
JavaScript,Algorithm,1
Question_answering,Algorithm,1
Profiling_(computer_programming),Computational_complexity_theory,1
Divide_and_conquer_algorithm,Syntax,0
World_Wide_Web,Arithmetic,1
Quantum_computer,Information_security,0
OSI_model,Graph_(mathematics),1
Computation,Computational_problem,0
Motion_planning,Computer_science,1
Control_flow,Data_warehouse,0
Reason,Mutual_exclusion,0
Programming_language,Computational_science,1
Cache_coherence,Time_complexity,1
Interactivity,Computer,1
Application_programming_interface,Computer_science,1
Information_assurance,Message_Passing_Interface,0
Neural_network,Computational_learning_theory,0
User_interface_design,Digital_electronics,1
Linear_programming,Linear_algebra,1
Decision_theory,Random_variable,1
Analysis_of_algorithms,Abstraction_(computer_science),1
Graph_theory,Computer_multitasking,0
Computer_multitasking,Speech_recognition,0
Semidefinite_programming,Algorithm,1
Software_framework,HTML,0
Relational_algebra,Telecommunications_network,0
Problem_solving,Shortest_path_problem,0
File_system,Probability,0
SQL,Operating_system,1
Algorithm_design,Problem_solving,1
Database_design,Volume_rendering,0
Server_(computing),Communications_protocol,0
Calculus,Prediction,0
Generic_programming,Predicate_logic,0
Motion_planning,Software_engineering,1
Hash_table,Context-free_grammar,0
Calculus_of_variations,Continuous_function,1
Interpolation,Autonomous_robot,0
Very_long_instruction_word,User_interface,0
Numerical_analysis,Discrete_mathematics,1
Formal_language,Computational_chemistry,0
MapReduce,Automata_theory,0
Machine_translation,Random_graph,0
Predicate_logic,Public-key_cryptography,0
Neural_network,Mathematics,1
Linear_algebra,Graphics,0
Sequence_alignment,Kernel_(computing),0
System_programming,Memory_hierarchy,0
Reason,Approximation_algorithm,0
Poisson_distribution,Expected_value,1
Structured_programming,Big_data,0
Continuous_function,Boundary_value_problem,0
Transaction_processing,Computational_science,1
Dynamic_memory_allocation,Computer_simulation,0
Virtual_reality,Graphical_user_interface,0
Rendering_(computer_graphics),Graphics,1
Computational_geometry,Foundations_of_mathematics,1
Random_walk,Query_optimization,0
Inter-process_communication,Image_processing,0
Automated_planning_and_scheduling,Numerical_analysis,1
Computational_geometry,Arithmetic,1
Recursion_(computer_science),Algorithm,1
OSI_model,Data,1
Differential_equation,Flow_network,0
Database_design,Object_(computer_science),1
Recursion,Abstraction_(computer_science),1
Computer_simulation,Computer_science,1
Quantum_mechanics,B-tree,0
CPU_cache,Natural_language_processing,0
Analysis_of_algorithms,Integer,1
Computational_geometry,Combinatorics,1
Reinforcement_learning,Mathematical_optimization,1
Robot,Introduction_to_Algorithms,0
Traffic_analysis,Inference,0
3D_modeling,Generic_programming,0
Concurrency_control,Garbage_collection_(computer_science),0
Server_(computing),Denotational_semantics,0
Assembly_language,Query_optimization,0
Analysis_of_algorithms,Computation,1
Recursion,Sequence_alignment,0
Routing,Computer_science,1
Combinatorics,Foundations_of_mathematics,1
Hidden_line_removal,Linear_programming,0
Prolog,Computability,1
Stack_(data_structure),Markov_process,0
PSPACE,Pushdown_automaton,0
Database_design,Database,1
Genetic_algorithm,Perl,0
Computer_graphics,Image,1
Predicate_logic,OSI_model,0
Programming_language,Computability,1
Polynomial,Internet_Protocol_Suite,0
Processor_register,Rendering_(computer_graphics),0
Hash_table,Web_service,0
Computer,Rendering_(computer_graphics),0
Approximation_algorithm,Introduction_to_Algorithms,1
Pushdown_automaton,Transaction_processing,0
Motion_capture,Integer,0
Geometric_modeling,Computability,1
Turing_machine,C_(programming_language),0
Message_Passing_Interface,Data,1
Turing_machine,Discrete_mathematics,1
Formal_language,String_(computer_science),1
Volume_rendering,Data,1
Complexity_class,Computer_science,1
Compiler,Data_structure,1
Parallel_computing,Computer_architecture,1
Data_(computing),Volume_rendering,0
Tensor,Regular_expression,0
Recursively_enumerable_set,Polymorphism_(computer_science),0
Amortized_analysis,Data_structure,1
Time_complexity,Computer_science,1
Matrix_(mathematics),Natural_language_processing,0
Mathematical_induction,Graphical_model,0
Computer_simulation,Computer,1
Motion_capture,Graphics,1
Graphical_model,Web_browser,0
Query_optimization,Database,1
Type_system,Image,0
Cryptanalysis,Abstraction_(computer_science),1
Model_of_computation,Social_network,0
Robotics,Introduction_to_Algorithms,1
Robotics,Markov_chain,1
Object-oriented_programming,Superscalar,0
Lisp_(programming_language),Recursion_(computer_science),1
Modular_programming,Software_framework,0
Recursion_(computer_science),Mathematical_model,0
Concurrency_control,Algorithm_design,1
MapReduce,Social_network,0
Computational_chemistry,Mathematics,1
Question_answering,Programming_language,1
Abstract_data_type,Automatic_programming,0
Design_pattern_(computer_science),Quantum_computer,0
Graphical_user_interface,Lazy_evaluation,0
Telecommunications_network,Computing,0
Eigenvalues_and_eigenvectors,Fixed_point_(mathematics),0
User_interface,Firewall_(computing),0
Functional_programming,Algorithm,1
Cryptanalysis,Pipeline_(computing),0
Recursion,Programming_language,1
Database_normalization,Data,1
Document_classification,Probability,1
Linear_programming,Discrete_mathematics,1
Data_mining,Computation,1
Algorithm,Recursion_(computer_science),0
Array_data_structure,Data_type,1
Logic,Scripting_language,0
Formal_methods,Suffix_tree,0
Artificial_intelligence,Shading,0
Interpolation,Dynamic_programming,0
Internet_Protocol_Suite,Communications_protocol,1
Robotics,Reason,1
Geometry,Relational_algebra,0
Message_Passing_Interface,Thread_(computer_science),0
Fixed_point_(mathematics),Bayesian_network,0
Compiler,Algorithm,1
Computer_security,Server_(computing),0
Data_analysis,Number_theory,0
B-tree,Graph_theory,1
Functional_programming,CPU_cache,0
Computer_architecture,Automata_theory,0
Transaction_processing,Graph_theory,1
Authentication,Partial_differential_equation,0
Concurrency_control,Computer_science,1
NP-complete,Algorithm_design,1
Database,Image_analysis,0
Data_(computing),Geometric_modeling,0
Pushdown_automaton,Recursively_enumerable_set,0
Correlation_and_dependence,Hash_table,0
Computer_programming,Polynomial,1
Software_development,Abstract_data_type,1
Game_theory,Bioinformatics,0
Concurrency_(computer_science),Operating_system,1
Reinforcement_learning,Statistical_inference,1
Machine_translation,Pipeline_(computing),0
SQL,Big_data,0
Feature_extraction,Kinematics,0
Computer_vision,Geometry,1
Design_of_experiments,Unsupervised_learning,0
Computational_geometry,Computation,1
Automated_planning_and_scheduling,Tensor,0
Interface_(computing),Program_analysis,0
Graphical_user_interface,Discrete_mathematics,1
Statistical_hypothesis_testing,Queue_(data_structure),0
Recurrence_relation,Iterative_method,1
Wavelet,Natural_language_processing,0
Integral,Computer_network,0
Semidefinite_programming,NP_(complexity),0
Automatic_programming,Computational_science,1
Discrete_mathematics,Array_data_structure,0
Relational_database_management_system,Graphics,0
Database_system,Perl,0
Internet_Protocol_Suite,Compiler,0
Finite_element_method,Matrix_(mathematics),1
Public-key_cryptography,Iterative_method,1
Robot,SQL,0
Nonlinear_system,Semantics,0
Hash_table,Microprocessor,0
Inter-process_communication,Mathematical_model,0
Programmer,Integral,0
Compiler,Automata_theory,1
Semidefinite_programming,Turing_machine,0
Uncertainty,Debugging,0
Neural_network,Discrete_mathematics,1
C_(programming_language),Computation,1
Expert_system,Imperative_programming,0
Parallel_algorithm,Computation,1
PSPACE,Scripting_language,0
Generic_programming,Mathematical_optimization,0
Randomness,Web_service,0
Recommender_system,Computer,1
Distributed_algorithms,Computation,1
NP-complete,Distributed_algorithms,0
Virtual_memory,Iterative_method,0
Machine_learning,Data_structure,1
ML_(programming_language),Recursion_(computer_science),1
Garbage_collection_(computer_science),Discrete_mathematics,1
Artificial_intelligence,Logic,1
Autonomous_robot,Mechanical_engineering,1
Regular_expression,Vector_processor,0
Higher-order_function,HTML,0
Software_engineering,Abstract_data_type,1
Parallel_algorithm,Software_development,0
Graphical_model,Expected_value,1
String_(computer_science),Firewall_(computing),0
Robotics,Debugging,1
Computer_vision,Introduction_to_Algorithms,1
Assembly_language,Computer_programming,1
Distributed_computing,Arithmetic,1
String_searching_algorithm,Recursion,0
Software_engineering,Parallel_algorithm,0
Visualization_(computer_graphics),Computer,1
Scope_(computer_science),Computer_science,1
Logic,Object-oriented_programming,0
First-order_logic,Recursion,1
Robotics,Object-oriented_programming,1
Knowledge_representation_and_reasoning,Thread_(computer_science),0
Relational_database_management_system,Predicate_logic,1
Coding_theory,Graph_theory,1
Imperative_programming,Discrete_mathematics,1
Motion_capture,Computer_science,1
Speech_recognition,Mathematics,1
Procedural_programming,Computer,1
Computer_architecture,Computer_science,1
Graphics_processing_unit,Bayesian_network,0
Operating_system,Digital_electronics,1
Stochastic_process,Tensor,0
Monte_Carlo_method,Internet_Protocol_Suite,0
Poisson_distribution,Foundations_of_mathematics,0
Support_vector_machine,Stochastic,0
Randomized_algorithm,PageRank,0
Combinatorics,Automated_planning_and_scheduling,0
Shading,Logic,0
Randomness,Calculus,0
Robotics,NP_(complexity),0
Combinatorics,Fixed_point_(mathematics),0
Undecidable_problem,Computer_science,1
Polynomial,Propositional_calculus,0
Assembly_language,Computer_science,1
"Best,_worst_and_average_case",High-level_programming_language,0
Approximation_algorithm,Linear_algebra,1
Computational_geometry,Algorithm,1
Document_classification,Monad_(functional_programming),0
Sentiment_analysis,Computational_complexity_theory,1
Concurrent_computing,Formal_grammar,0
Fixed_point_(mathematics),Foundations_of_mathematics,1
Relational_model,Foundations_of_mathematics,1
Large_deviations_theory,Assembly_language,0
Superscalar,Cloud_computing,0
SQL,Partial_differential_equation,0
Scripting_language,Computing,1
Computational_geometry,Graphics,1
Computer_network,Programming_language,0
Ray_tracing_(graphics),Algorithm_design,1
Programming_paradigm,Markov_chain,0
Logic,Scientific_modelling,0
Approximation_algorithm,Information_assurance,0
Data,Object-oriented_programming,0
Profiling_(computer_programming),Parallel_algorithm,0
Quantum_computer,Theory_of_computation,1
Authentication,MapReduce,0
Profiling_(computer_programming),Genetic_algorithm,0
Semantics,Signal_processing,0
Web_browser,Programming_language,0
Differential_equation,Combinational_logic,0
Concurrency_(computer_science),Parallel_computing,1
Newton's_method,Analysis_of_algorithms,0
3D_computer_graphics,Algorithm,1
Ray_tracing_(graphics),Graphics,1
Relational_database_management_system,Relational_model,1
Neural_network,Data_structure,1
